archivo,numero,mes,anio,formato,paginas,ancho,alto,chars_p1,imgs_p1,dibujos_p1,fuente_p1,escaneado
Reporte-M.-de-Conflictos-Sociales-N-105-Noviembre-2012.pdf,105,11,2012,adjuntia_portada_estadistica,110,595,842,923,0,13,"Arial,Bold",0
Reporte-M.-de-Conflictos-Sociales-N-106-Diciembre-2012.pdf,106,12,2012,adjuntia_portada_estadistica,94,595,842,902,0,13,"Arial,Bold",0
Reporte-M.-de-Conflictos-Sociales-N-107-Ene-2013.pdf,107,1,2013,adjuntia_portada_estadistica,94,595,842,878,0,13,"Arial,Bold",0
Reporte-M.-de-Conflictos-Sociales-N-108-Feb-2013.pdf,108,2,2013,adjuntia_portada_estadistica,94,595,842,846,0,13,"Arial,Bold",0
Reporte-M.-de-Conflictos-Sociales-N-109-Mar-2013.pdf,109,3,2013,adjuntia_portada_estadistica,112,595,842,859,0,13,"Arial,Bold",0
Reporte-M.-de-Conflictos-Sociales-N-110-Abr-2013.pdf,110,4,2013,adjuntia_portada_estadistica,127,595,842,846,0,13,"Arial,Bold",0
Reporte-M.-de-Conflictos-Sociales-N-111-Mayo2013.pdf,111,5,2013,adjuntia_portada_estadistica,116,595,842,893,0,13,"Arial,Bold",0
Reporte-M.-de-Conflictos-Sociales-N-112-Junio-2013.pdf,112,6,2013,adjuntia_portada_estadistica,117,595,842,880,0,13,"Arial,Bold",0
Reporte-M.-de-Conflictos-Sociales-N-99-May-2012.pdf,99,5,2012,adjuntia_portada_estadistica,100,595,842,866,0,13,"Arial,Bold",0
Reporte-Mensual-Conflictos-Sociales-125-Julio-2014.pdf,125,7,2014,adjuntia_portada_estadistica,110,595,842,876,3,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-101-Julio-12.pdf,101,7,2012,adjuntia_portada_estadistica,96,595,842,866,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-102-Ago-12.pdf,102,8,2012,adjuntia_portada_estadistica,93,595,842,858,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-103-Sept-2012.pdf,103,9,2012,adjuntia_portada_estadistica,101,595,842,913,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-104-Octu-2012.pdf,104,10,2012,adjuntia_portada_estadistica,97,595,842,900,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-113-Julio-2013.pdf,113,7,2013,adjuntia_portada_estadistica,121,595,842,895,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-114-Agosto-2013.pdf,114,8,2013,adjuntia_portada_estadistica,113,595,842,867,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-115-Septiembre-2013.pdf,115,9,2013,adjuntia_portada_estadistica,112,595,842,875,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-116-Octubre-2013.pdf,116,10,2013,adjuntia_portada_estadistica,111,595,842,854,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-117-noviembre-2013.pdf,117,11,2013,adjuntia_portada_estadistica,110,595,842,873,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-118-diciembre-2013.pdf,118,12,2013,adjuntia_portada_estadistica,103,595,842,862,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-119-enero-2014.pdf,119,1,2014,adjuntia_portada_estadistica,110,595,842,849,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-120-Febrero-2014.pdf,120,2,2014,adjuntia_portada_estadistica,113,595,842,848,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-121-marzo-2014.pdf,121,3,2014,adjuntia_portada_estadistica,123,595,842,860,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-122.pdf,122,4,2014,adjuntia_portada_estadistica,119,595,842,877,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-123-2014.pdf,123,5,2014,adjuntia_portada_estadistica,113,595,842,903,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-124-2014.pdf,124,6,2014,adjuntia_portada_estadistica,122,595,842,874,0,13,"Arial,Bold",0
Reporte-Mensual-de-Conflictos-Sociales-N-126-Agosto-2014.pdf,126,8,2014,adjuntia_portada_estadistica,103,595,842,881,0,13,Franklin Gothic Book,0
